Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000164692,COL1A2,Gene Expression,0.3623541206794447,0.0,0.0,37062,13.66000473497529,2292
ENSG00000163191,S100A11,Gene Expression,0.3616577334632774,0.0,0.0,10619,3.6446959623110797,2017
ENSG00000011465,DCN,Gene Expression,0.3594166686940336,0.0,0.0,14979,5.502992589852594,2104
ENSG00000196154,S100A4,Gene Expression,0.3485890713699756,0.0,0.0,18323,6.427546377482621,2192
ENSG00000100979,PLTP,Gene Expression,0.34763906874624867,0.0,0.0,11503,4.0798876033168545,2106
ENSG00000101439,CST3,Gene Expression,0.3463214843088911,0.0,0.0,24802,8.793180956061043,2236
ENSG00000164733,CTSB,Gene Expression,0.3444899518491524,0.0,0.0,25045,9.009288543194359,2257
ENSG00000163220,S100A9,Gene Expression,0.34385880246518546,0.0,0.0,13421,4.891160031618457,2094
ENSG00000170458,CD14,Gene Expression,0.3428072912759749,0.0,0.0,8622,3.0193537021125363,1976
ENSG00000116690,PRG4,Gene Expression,0.33649185400765785,0.0,0.0,28964,9.87999339006536,2144
ENSG00000216490,IFI30,Gene Expression,0.33435585466729323,0.0,0.0,15530,5.528840507295083,2155
ENSG00000107317,PTGDS,Gene Expression,0.3261457744038123,0.0,0.0,14861,6.871690001770203,2180
ENSG00000019582,CD74,Gene Expression,0.32606831739338926,0.0,0.0,147440,53.76057603427318,2395
ENSG00000112096,SOD2,Gene Expression,0.3244290374875968,0.0,0.0,14168,4.890011230008845,2131
ENSG00000211899,IGHM,Gene Expression,0.32245139388107086,0.0,0.0,103232,35.23172225308444,2366
ENSG00000211673,IGLV3-1,Gene Expression,0.32106365660440417,0.0,0.0,48510,15.457135605847414,2213
ENSG00000177575,CD163,Gene Expression,0.32061853852530414,0.0,0.0,11161,4.171841592560065,2084
ENSG00000107562,CXCL12,Gene Expression,0.32049688580751495,0.0,0.0,15660,6.128438004008589,2159
ENSG00000211598,IGKV4-1,Gene Expression,0.31959954836130067,0.0,0.0,57858,20.386125836283778,2301
ENSG00000166710,B2M,Gene Expression,0.318099761734623,0.0,0.0,111805,39.809871796900175,2390
ENSG00000087086,FTL,Gene Expression,0.3171982226230613,0.0,0.0,93643,34.66305786976749,2379
ENSG00000041982,TNC,Gene Expression,0.31551207659981545,0.0,0.0,8132,2.8234035338592745,1850
ENSG00000104870,FCGRT,Gene Expression,0.31053597635919644,0.0,0.0,14221,5.249204484533492,2201
ENSG00000120708,TGFBI,Gene Expression,0.30278628980721517,0.0,0.0,7126,2.470003997512318,1891
ENSG00000100219,XBP1,Gene Expression,0.2982012657844505,0.0,0.0,30245,11.32861764350892,2316
ENSG00000211893,IGHG2,Gene Expression,0.2968471345684533,0.0,0.0,63221,22.05709893700308,2312
ENSG00000182718,ANXA2,Gene Expression,0.2964963403398511,0.0,0.0,11456,4.092235508856143,2119
ENSG00000159403,C1R,Gene Expression,0.29615948956209964,0.0,0.0,23942,8.79717265705546,2255
ENSG00000211892,IGHG4,Gene Expression,0.295487201692059,0.0,0.0,17392,6.379581094816379,1957
ENSG00000087245,MMP2,Gene Expression,0.29545349067163845,0.0,0.0,10249,3.7110271867980833,2042
ENSG00000211675,IGLC1,Gene Expression,0.2946151928469834,0.0,0.0,104235,36.52240143563817,2349
ENSG00000197956,S100A6,Gene Expression,0.2944248126956509,0.0,0.0,31661,11.506545808918773,2310
ENSG00000110651,CD81,Gene Expression,0.2929903210814418,0.0,0.0,19306,6.828309647216782,2215
ENSG00000095713,CRTAC1,Gene Expression,0.2927445592553158,0.0,0.0,10909,3.7780397309834752,1885
ENSG00000187608,ISG15,Gene Expression,0.2917043156474137,0.0,0.0,6627,2.2851376610636276,1850
ENSG00000090382,LYZ,Gene Expression,0.2906850545255167,0.0,0.0,22331,8.705802844202518,2285
ENSG00000135404,CD63,Gene Expression,0.2893213100171014,0.0,0.0,15826,5.671976608947802,2215
ENSG00000011600,TYROBP,Gene Expression,0.2884625769056204,0.0,0.0,13187,4.9591753789958215,2176
ENSG00000140264,SERF2,Gene Expression,0.2856365896197279,0.0,0.0,17499,6.129870332999714,2204
ENSG00000197766,CFD,Gene Expression,0.28493218642492724,0.0,0.0,7389,2.704305475297366,1892
ENSG00000118523,CCN2,Gene Expression,0.2846202951601299,0.0,0.0,7847,2.9222432547244654,1905
ENSG00000197746,PSAP,Gene Expression,0.28427884024845185,0.0,0.0,53096,19.78795758503419,2353
ENSG00000143546,S100A8,Gene Expression,0.28212348640370405,0.0,0.0,4790,1.6406772523274382,1559
ENSG00000182578,CSF1R,Gene Expression,0.2819850756769869,0.0,0.0,7783,2.8653443652506008,2005
ENSG00000223865,HLA-DPB1,Gene Expression,0.2807298752858783,0.0,0.0,16955,6.185086339578017,2236
ENSG00000133110,POSTN,Gene Expression,0.2806784394418743,0.0,0.0,867,0.33536993815776206,491
ENSG00000188257,PLA2G2A,Gene Expression,0.28044204117618077,0.0,0.0,6952,2.4075130033016308,1670
ENSG00000150991,UBC,Gene Expression,0.27796295873052984,0.0,0.0,101491,37.688386352402304,2392
ENSG00000163815,CLEC3B,Gene Expression,0.27768804468525377,0.0,0.0,7440,2.5418488545753224,1779
ENSG00000132465,JCHAIN,Gene Expression,0.27720277134516447,0.0,0.0,24626,8.408087447518392,2169
ENSG00000239264,TXNDC5,Gene Expression,0.27662432498141476,0.0,0.0,11082,3.651273501442025,1970
ENSG00000197747,S100A10,Gene Expression,0.2761808329302283,0.0,0.0,21289,7.842058163335748,2259
ENSG00000165168,CYBB,Gene Expression,0.276017423258643,0.0,0.0,16375,6.1590439000168145,2228
ENSG00000129226,CD68,Gene Expression,0.27592498304497654,0.0,0.0,9409,3.3551077841805896,2037
ENSG00000035862,TIMP2,Gene Expression,0.2733814802350536,0.0,0.0,7645,2.750826460453819,1959
ENSG00000182492,BGN,Gene Expression,0.2716127264735161,0.0,0.0,6551,2.367627164846879,1839
ENSG00000204525,HLA-C,Gene Expression,0.27125028246637156,0.0,0.0,34804,12.691535623254778,2320
ENSG00000136156,ITM2B,Gene Expression,0.2706955285258875,0.0,0.0,29724,11.206337997623306,2325
ENSG00000138061,CYP1B1,Gene Expression,0.26955568984579575,0.0,0.0,7157,2.5022959089504564,1776
ENSG00000135047,CTSL,Gene Expression,0.2687768631546938,0.0,0.0,5290,1.7742485495074671,1673
ENSG00000160255,ITGB2,Gene Expression,0.2671069204614956,0.0,0.0,9581,3.414130512486902,2038
ENSG00000123610,TNFAIP6,Gene Expression,0.26606248912849734,0.0,0.0,3369,1.0602589057560161,1137
ENSG00000155659,VSIG4,Gene Expression,0.2658528300606327,0.0,0.0,6192,2.164597506271615,1821
ENSG00000163359,COL6A3,Gene Expression,0.2638779590148183,0.0,0.0,16474,6.327877273590012,2223
ENSG00000211897,IGHG3,Gene Expression,0.26191754745085377,0.0,0.0,100364,36.688963429078186,2392
ENSG00000104951,IL4I1,Gene Expression,0.26172599089809373,0.0,0.0,2918,1.0905286502121811,1328
ENSG00000142227,EMP3,Gene Expression,0.259968182330531,0.0,0.0,8743,2.993238850362426,1978
ENSG00000139329,LUM,Gene Expression,0.25966189584811256,0.0,0.0,10035,3.570589668945011,1995
ENSG00000019169,MARCO,Gene Expression,0.2586700517292275,0.0,0.0,4076,1.4182679168281935,1465
ENSG00000101160,CTSZ,Gene Expression,0.25777110920488344,0.0,0.0,29030,10.742401465530538,2312
ENSG00000148180,GSN,Gene Expression,0.25725475544186127,0.0,0.0,11826,4.436609866422921,2161
ENSG00000187474,FPR3,Gene Expression,0.2567459177148441,0.0,0.0,8686,3.1927807179035126,2011
ENSG00000179218,CALR,Gene Expression,0.25653892493671454,0.0,0.0,9600,3.35728268911859,2094
ENSG00000243649,CFB,Gene Expression,0.2550344280155917,0.0,0.0,5858,1.9996297488172012,1748
ENSG00000064205,CCN5,Gene Expression,0.2544418106730963,0.0,0.0,4134,1.6265165718486911,1573
ENSG00000231389,HLA-DPA1,Gene Expression,0.25375922668273626,0.0,0.0,22286,8.435883984551985,2268
ENSG00000120885,CLU,Gene Expression,0.2526542325263314,0.0,0.0,47623,17.944143963268242,2345
ENSG00000117984,CTSD,Gene Expression,0.2502735559570249,0.0,0.0,16197,5.998375026641519,2225
ENSG00000158869,FCER1G,Gene Expression,0.24962483788508702,0.0,0.0,7420,2.6643174409385035,1934
ENSG00000204287,HLA-DRA,Gene Expression,0.2476344389392789,0.0,0.0,55779,21.811845512099964,2382
ENSG00000172724,CCL19,Gene Expression,0.24650668995807667,0.0,0.0,4059,1.9426054991999535,1318
ENSG00000250722,SELENOP,Gene Expression,0.24559215062601708,0.0,0.0,9892,3.867769947325221,2079
ENSG00000100097,LGALS1,Gene Expression,0.245375844914773,0.0,0.0,8432,3.04060605791465,1996
ENSG00000204592,HLA-E,Gene Expression,0.24517537112004148,0.0,0.0,18230,6.590453764991847,2255
ENSG00000160932,LY6E,Gene Expression,0.24424386451830163,0.0,0.0,7102,2.5128494629904816,1915
ENSG00000164713,BRI3,Gene Expression,0.24335611786140418,0.0,0.0,7843,2.7764881978809965,2006
ENSG00000002549,LAP3,Gene Expression,0.24222250996593303,0.0,0.0,7254,2.61127703934494,1960
ENSG00000123384,LRP1,Gene Expression,0.24221433366471296,0.0,0.0,7920,2.9238190392953762,1999
ENSG00000196611,MMP1,Gene Expression,0.24210830010140127,0.0,0.0,3790,1.2522504720399936,1165
ENSG00000066336,SPI1,Gene Expression,0.24004702890764681,0.0,0.0,7211,2.5933050950516545,1945
ENSG00000130203,APOE,Gene Expression,0.2395289998625119,0.0,0.0,11248,3.968656674253425,2106
ENSG00000166033,HTRA1,Gene Expression,0.23781979402386688,0.0,0.0,9063,3.263286876531568,1920
ENSG00000205542,TMSB4X,Gene Expression,0.23582690008387197,0.0,0.0,103139,40.22883496541212,2424
ENSG00000162511,LAPTM5,Gene Expression,0.23504436838115908,0.0,0.0,20346,7.427921496303368,2246
ENSG00000119917,IFIT3,Gene Expression,0.22993253978225117,0.0,0.0,4744,1.7028728682788337,1686
ENSG00000277443,MARCKS,Gene Expression,0.22876138665408038,0.0,0.0,8494,3.195252104990445,2084
ENSG00000143196,DPT,Gene Expression,0.2283558943953145,0.0,0.0,2697,1.0079234424167627,1302
ENSG00000160789,LMNA,Gene Expression,0.2279960932294728,0.0,0.0,7813,2.9141431857505333,2021
ENSG00000204103,MAFB,Gene Expression,0.22684906615618716,0.0,0.0,5316,2.0062643372662547,1800
ENSG00000185201,IFITM2,Gene Expression,0.22630302595206656,0.0,0.0,12446,4.6847290484762185,2157
ENSG00000108679,LGALS3BP,Gene Expression,0.22285658789623303,0.0,0.0,11875,4.508371996854635,2190
ENSG00000173821,RNF213,Gene Expression,0.2207712939161323,0.0,0.0,13299,5.093802182902397,2216
ENSG00000140105,WARS,Gene Expression,0.2203204725935772,0.0,0.0,7657,2.712325205468541,1951
ENSG00000030582,GRN,Gene Expression,0.2182172316996327,0.0,0.0,4988,1.8069946753621855,1777
ENSG00000177989,ODF3B,Gene Expression,0.2177756855564062,0.0,0.0,4879,1.6788388162889791,1747
ENSG00000115415,STAT1,Gene Expression,0.2177053312163775,0.0,0.0,7933,2.823003661178082,2034
ENSG00000106333,PCOLCE,Gene Expression,0.2152346532424782,0.0,0.0,6550,2.393733140545319,1884
ENSG00000163430,FSTL1,Gene Expression,0.21417424205750535,0.0,0.0,10594,3.9194373181986832,2094
ENSG00000170476,MZB1,Gene Expression,0.21347462695713645,0.0,0.0,6254,2.221831101649961,1756
ENSG00000161011,SQSTM1,Gene Expression,0.21257259053822508,0.0,0.0,14970,5.4649224461844375,2220
ENSG00000100234,TIMP3,Gene Expression,0.2124868236221894,0.0,0.0,7770,2.661078170983414,1845
ENSG00000105855,ITGB8,Gene Expression,0.2121331948107834,0.0,0.0,3758,1.2738418670220018,1359
ENSG00000282651,IGHV5-10-1,Gene Expression,0.21024197247387053,0.0,0.0,10586,3.925471782697838,1710
ENSG00000124731,TREM1,Gene Expression,0.2102368226289159,0.0,0.0,1351,0.4999649138556515,679
ENSG00000124942,AHNAK,Gene Expression,0.20834555210137956,0.0,0.0,7156,2.58080319471752,1974
ENSG00000213145,CRIP1,Gene Expression,0.20581695225844365,0.0,0.0,9635,3.503634588614632,2042
ENSG00000110077,MS4A6A,Gene Expression,0.2035345221509776,0.0,0.0,7832,3.1484509934247504,2040
ENSG00000158710,TAGLN2,Gene Expression,0.20239905182177054,0.0,0.0,11872,4.326763185525274,2163
ENSG00000099958,DERL3,Gene Expression,0.20149632236104592,0.0,0.0,5866,2.118444761547914,1732
ENSG00000168477,TNXB,Gene Expression,0.20144857606007902,0.0,0.0,4300,1.5093222736310286,1525
ENSG00000116285,ERRFI1,Gene Expression,0.20112950937773302,0.0,0.0,3500,1.19602297132831,1245
ENSG00000026508,CD44,Gene Expression,0.200138222323217,0.0,0.0,8016,2.8394067280665247,2011
ENSG00000142156,COL6A1,Gene Expression,0.19935683720491132,0.0,0.0,6795,2.498749813214038,1908
ENSG00000227507,LTB,Gene Expression,0.1992680517321483,0.0,0.0,4556,2.000169365358321,1625
ENSG00000196924,FLNA,Gene Expression,0.19855113256766144,0.0,0.0,16582,6.28089860361743,2265
ENSG00000163534,FCRL1,Gene Expression,0.19836529592297117,0.0,0.0,1950,0.8523335207819476,972
ENSG00000130303,BST2,Gene Expression,0.19786402863943223,0.0,0.0,8545,3.0621308494436543,2037
ENSG00000142669,SH3BGRL3,Gene Expression,0.1959089973125299,0.0,0.0,5488,1.8870965034275349,1797
ENSG00000118985,ELL2,Gene Expression,0.1928096250799749,0.0,0.0,5682,2.0444477453727496,1829
ENSG00000183508,TENT5C,Gene Expression,0.19230120635273049,0.0,0.0,3855,1.3849488249090436,1478
ENSG00000167468,GPX4,Gene Expression,0.19208997121674032,0.0,0.0,4792,1.6682788057337832,1712
ENSG00000176845,METRNL,Gene Expression,0.19199878679000548,0.0,0.0,5119,1.872755584911312,1803
ENSG00000106366,SERPINE1,Gene Expression,0.19145581996438693,0.0,0.0,549,0.2095113360165067,384
ENSG00000211640,IGLV6-57,Gene Expression,0.1914409977719196,0.0,0.0,4428,1.4084067331349512,1116
ENSG00000113140,SPARC,Gene Expression,0.19030209527229,0.0,0.0,15397,6.4187814990871255,2247
ENSG00000102096,PIM2,Gene Expression,0.1897587165196111,0.0,0.0,3474,1.1486434587525853,1432
ENSG00000108691,CCL2,Gene Expression,0.189473924969881,0.0,0.0,3921,1.4307098287516076,1526
ENSG00000159128,IFNGR2,Gene Expression,0.18825801734820025,0.0,0.0,4706,1.6273647968574065,1713
ENSG00000018280,SLC11A1,Gene Expression,0.18725627022899763,0.0,0.0,1424,0.48547172101266944,850
ENSG00000166825,ANPEP,Gene Expression,0.18537063336165627,0.0,0.0,2592,0.9243698315732091,1267
ENSG00000185624,P4HB,Gene Expression,0.1851393538786913,0.0,0.0,5356,1.82915100835244,1854
ENSG00000157601,MX1,Gene Expression,0.18483413391816503,0.0,0.0,4338,1.5781167316113243,1709
ENSG00000138821,SLC39A8,Gene Expression,0.18377346795831193,0.0,0.0,2609,0.9138940512422316,1218
ENSG00000136238,RAC1,Gene Expression,0.18336869540529782,0.0,0.0,5549,1.9471051862441624,1888
ENSG00000169715,MT1E,Gene Expression,0.18331009759351796,0.0,0.0,3642,1.2264541564734357,1460
ENSG00000180879,SSR4,Gene Expression,0.1829398188358494,0.0,0.0,7370,2.6659054284733346,1932
ENSG00000130429,ARPC1B,Gene Expression,0.18282030938018815,0.0,0.0,11408,4.175348529101624,2185
ENSG00000170296,GABARAP,Gene Expression,0.18262474297567913,0.0,0.0,10959,4.070427630402424,2167
ENSG00000137959,IFI44L,Gene Expression,0.1819092365512881,0.0,0.0,10005,4.008412419608556,2163
ENSG00000170345,FOS,Gene Expression,0.1812982950787082,0.0,0.0,3191,1.14636587478499,1387
ENSG00000106624,AEBP1,Gene Expression,0.18062145852557243,0.0,0.0,3864,1.5190715306214,1558
ENSG00000196735,HLA-DQA1,Gene Expression,0.1803890162229713,0.0,0.0,5179,1.8692304249643343,1809
ENSG00000113296,THBS4,Gene Expression,0.17845501089776966,0.0,0.0,3025,1.0665911357728897,1248
ENSG00000120594,PLXDC2,Gene Expression,0.17828574105726736,0.0,0.0,3245,1.1565359051428576,1475
ENSG00000142173,COL6A2,Gene Expression,0.1781285377730298,0.0,0.0,11545,4.563207256272526,2150
ENSG00000134013,LOXL2,Gene Expression,0.17798440096197063,0.0,0.0,840,0.29931458124487126,603
ENSG00000143384,MCL1,Gene Expression,0.1771522597598138,0.0,0.0,10227,3.706038355986698,2144
ENSG00000135052,GOLM1,Gene Expression,0.1770016635552551,0.0,0.0,4594,1.671620527052863,1670
ENSG00000012124,CD22,Gene Expression,0.1769190872587927,0.0,0.0,1265,0.6628550856114652,715
ENSG00000106211,HSPB1,Gene Expression,0.17634523252394926,0.0,0.0,11275,4.401755666328829,2185
ENSG00000137331,IER3,Gene Expression,0.1759740494408455,0.0,0.0,1576,0.5235963246182439,956
ENSG00000140575,IQGAP1,Gene Expression,0.1751298504276013,0.0,0.0,7429,2.7321372690005457,2036
ENSG00000169554,ZEB2,Gene Expression,0.17464951066760365,0.0,0.0,6159,2.2349079244941255,1931
ENSG00000156738,MS4A1,Gene Expression,0.17445366646770238,0.0,0.0,1760,0.7819893882221978,933
ENSG00000221983,UBA52,Gene Expression,0.17411068933273152,0.0,0.0,23180,9.206985995894906,2335
ENSG00000176046,NUPR1,Gene Expression,0.17397916364998273,0.0,0.0,5132,1.9834832520961108,1764
ENSG00000157227,MMP14,Gene Expression,0.1729691431620089,0.0,0.0,3964,1.4273716896478819,1632
ENSG00000168394,TAP1,Gene Expression,0.17212467199146064,0.0,0.0,5398,1.918799852549224,1832
ENSG00000178695,KCTD12,Gene Expression,0.1718612469136985,0.0,0.0,6329,2.4133337235867276,1988
ENSG00000084234,APLP2,Gene Expression,0.17184247425446803,0.0,0.0,5456,1.9843914612051807,1842
ENSG00000184557,SOCS3,Gene Expression,0.1716706329583929,0.0,0.0,2855,0.9816265817638681,1412
ENSG00000134321,RSAD2,Gene Expression,0.17159707337119467,0.0,0.0,2325,0.8096240623316164,1202
ENSG00000108518,PFN1,Gene Expression,0.17105309194251664,0.0,0.0,25308,9.691082517457623,2329
ENSG00000204257,HLA-DMA,Gene Expression,0.17078322382472508,0.0,0.0,11351,4.339112165977315,2203
ENSG00000131042,LILRB2,Gene Expression,0.1707233371449546,0.0,0.0,2626,0.9763142258238711,1285
ENSG00000111331,OAS3,Gene Expression,0.1702752583965618,0.0,0.0,4504,1.64846901376368,1721
ENSG00000079308,TNS1,Gene Expression,0.1692755941418693,0.0,0.0,3525,1.2499701449756533,1557
ENSG00000185885,IFITM1,Gene Expression,0.16920226775938707,0.0,0.0,4529,1.6171951027981726,1720
ENSG00000115461,IGFBP5,Gene Expression,0.16902951669543975,0.0,0.0,3476,1.27705293375703,1397
ENSG00000163453,IGFBP7,Gene Expression,0.16890556915432103,0.0,0.0,11097,4.209269884511601,2069
ENSG00000130066,SAT1,Gene Expression,0.16843222017930007,0.0,0.0,4632,1.6347655878565994,1721
ENSG00000137077,CCL21,Gene Expression,0.1679962050358852,0.0,0.0,706,0.33459334999646734,416
ENSG00000115919,KYNU,Gene Expression,0.16699816251939875,0.0,0.0,4028,1.4060425529266374,1581
ENSG00000284194,SCO2,Gene Expression,0.166570119016536,0.0,0.0,3330,1.2302985202219632,1500
ENSG00000088827,SIGLEC1,Gene Expression,0.16634580028531804,0.0,0.0,4579,1.7117338336819976,1705
ENSG00000125144,MT1G,Gene Expression,0.16551276477599455,0.0,0.0,1165,0.43084933367754735,656
ENSG00000184357,HIST1H1B,Gene Expression,0.165284777391235,0.0,0.0,4959,1.7378538652587168,1554
ENSG00000186407,CD300E,Gene Expression,0.16500904215139378,0.0,0.0,884,0.29620143593849063,573
ENSG00000169136,ATF5,Gene Expression,0.16464564828864264,0.0,0.0,1556,0.542807855699241,974
ENSG00000108700,CCL8,Gene Expression,0.16413630215896502,0.0,0.0,777,0.2827763644936795,529
ENSG00000163131,CTSS,Gene Expression,0.16287261049650353,0.0,0.0,5575,1.9990536295976178,1883
ENSG00000211904,IGHJ2,Gene Expression,0.16276728501845544,0.0,0.0,3159,1.0159293562481444,1126
ENSG00000163466,ARPC2,Gene Expression,0.1618834336844738,0.0,0.0,8979,3.2999294916391935,2080
ENSG00000105849,TWISTNB,Gene Expression,0.16082474829594637,0.0,0.0,1531,0.5384402972988962,835
ENSG00000124491,F13A1,Gene Expression,0.1607528080974406,0.0,0.0,3501,1.2940357825885371,1562
ENSG00000182326,C1S,Gene Expression,0.16055580474522174,0.0,0.0,8190,3.1344840641000555,2064
ENSG00000165474,GJB2,Gene Expression,0.16026922710844477,0.0,0.0,908,0.2762710600625159,486
ENSG00000231925,TAPBP,Gene Expression,0.15952353495003999,0.0,0.0,6543,2.2933639967484627,1952
ENSG00000166741,NNMT,Gene Expression,0.15941412711801986,0.0,0.0,4067,1.5136338343659634,1653
ENSG00000173193,PARP14,Gene Expression,0.15940239735416417,0.0,0.0,5113,1.9125863804035694,1809
ENSG00000135046,ANXA1,Gene Expression,0.15882061509574147,0.0,0.0,4570,1.6670251385096566,1740
ENSG00000117228,GBP1,Gene Expression,0.15740542968192725,0.0,0.0,3703,1.3400344576898537,1541
ENSG00000137965,IFI44,Gene Expression,0.15724145851421506,0.0,0.0,6400,2.396122972674965,1936
ENSG00000204472,AIF1,Gene Expression,0.15720975538433957,0.0,0.0,3484,1.249238503644047,1585
ENSG00000004399,PLXND1,Gene Expression,0.15700460113143908,0.0,0.0,6757,2.47561199754336,1994
ENSG00000074800,ENO1,Gene Expression,0.15620973061749957,0.0,0.0,8856,3.3572982639559523,2109
ENSG00000166927,MS4A7,Gene Expression,0.15613718025397552,0.0,0.0,3383,1.3111439276907915,1558
ENSG00000181374,CCL13,Gene Expression,0.15559088824090836,0.0,0.0,2036,0.712994924035681,1130
ENSG00000087460,GNAS,Gene Expression,0.15496095158768355,0.0,0.0,8486,3.0212882577184232,2063
ENSG00000152518,ZFP36L2,Gene Expression,0.15481349349430135,0.0,0.0,6626,2.4621669165734117,1991
ENSG00000164111,ANXA5,Gene Expression,0.15384957856432901,0.0,0.0,5124,1.856718812219042,1834
ENSG00000042493,CAPG,Gene Expression,0.15374078410444678,0.0,0.0,5671,2.0431487529298797,1861
ENSG00000169442,CD52,Gene Expression,0.15369987984666836,0.0,0.0,2955,1.5009266140982205,1399
ENSG00000044574,HSPA5,Gene Expression,0.15365284740951715,0.0,0.0,9766,3.7172475476479154,2149
ENSG00000168298,HIST1H1E,Gene Expression,0.15330711672155656,0.0,0.0,13418,5.11399906495515,2209
ENSG00000112769,LAMA4,Gene Expression,0.153261309311917,0.0,0.0,3154,1.1535183995015872,1473
ENSG00000275385,CCL18,Gene Expression,0.15258118130800535,0.0,0.0,1910,0.630599808753954,1011
ENSG00000025434,NR1H3,Gene Expression,0.15168420916722247,0.0,0.0,2713,0.9681899010540183,1362
ENSG00000075223,SEMA3C,Gene Expression,0.15135462373270378,0.0,0.0,1814,0.6059071856050031,993
ENSG00000273983,HIST1H3G,Gene Expression,0.15109678935871498,0.0,0.0,2629,1.0435516960363724,1186
ENSG00000168079,SCARA5,Gene Expression,0.15106935376899616,0.0,0.0,2295,0.7589341507726557,1149
ENSG00000119630,PGF,Gene Expression,0.15088427646489466,0.0,0.0,2073,0.6962441135476791,1051
ENSG00000168899,VAMP5,Gene Expression,0.1507982390754936,0.0,0.0,3612,1.35406134456076,1587
ENSG00000124172,ATP5F1E,Gene Expression,0.1502799221153357,0.0,0.0,6747,2.4099006525024316,1988
ENSG00000211933,IGHV6-1,Gene Expression,0.14995054341288688,0.0,0.0,1949,0.6715739110915575,813
ENSG00000159388,BTG2,Gene Expression,0.14852991952686076,0.0,0.0,4775,1.747547507251417,1701
ENSG00000154175,ABI3BP,Gene Expression,0.1472542502470103,0.0,0.0,3285,1.1610198967864265,1491
ENSG00000183486,MX2,Gene Expression,0.14694592596662862,0.0,0.0,3511,1.290199642482681,1570
ENSG00000185650,ZFP36L1,Gene Expression,0.14689911380089116,0.0,0.0,8086,3.0550742702047873,2099
ENSG00000170581,STAT2,Gene Expression,0.14652689681336717,0.0,0.0,5182,1.9260335862853728,1878
ENSG00000158747,NBL1,Gene Expression,0.14633381850424157,0.0,0.0,4056,1.5339147728469826,1634
ENSG00000137265,IRF4,Gene Expression,0.14612055295933812,0.0,0.0,3029,1.0593495475821042,1369
ENSG00000122862,SRGN,Gene Expression,0.1458774251805698,0.0,0.0,4110,1.4224784553341565,1624
ENSG00000010327,STAB1,Gene Expression,0.14578186015073566,0.0,0.0,4033,1.5146234618184669,1662
ENSG00000188536,HBA2,Gene Expression,0.14524304960594953,0.0,0.0,607,0.2019628493510881,279
ENSG00000196092,PAX5,Gene Expression,0.14417402977826632,0.0,0.0,939,0.4289935547215873,577
ENSG00000162692,VCAM1,Gene Expression,0.143667992191344,0.0,0.0,3385,1.1917180742589406,1404
